,,,,,,,,,,,,,,,
,Normal Dungeons,2-4min,15-25,,X,X,X,,X(4),X,X,,,,
,Challenge Rift,1-10min,,124.974,,X,,,,,,,,,
,Terror Rift,2-10min,8-32,,,X,,,X(4),,,,,,
,Oblivion Pillar,2min,,,,X,,,,,,,,,
,Hellslayer Bounty,2min,32,216.400,,X,,,,,,,,,
,Normal Bounty,5-10min,8,54.100,X,X,,,X(4),,,,,,
,Hidden Lair,4min,,,X,X,,,X,X,X,,,,
,Open World Farming,,,,X,X,,,X(4),X,X,,,,
,Fishing,"2,5-5min",1/Fish,,X,X,,,X,,,,,,
,AFK Farming (4),1h,,11.000.000,,X,,,X,X,X,,,,
,AFK Farming (Solo),1h,,3.000.000,,X,,,,X,X,,,,
,Endless Defense,,3/min,,,,,,,,,,,,
,Normal Defense,,20,,,,,,,,,,,,
,Purge the Depths,,15,,X,X,,,,,,,,,
,Helliquary Raid,2min,20,2.000.000,,X,,,,,,,,,
,Vanguard,3-4min,20,,,X,X,,,,,,,,
,"Activity (PVE)
Shadows/Immortals",Time,"Battle
Points",Experience,"Gold
Scrap
Dust","Legendary
Items","Set
Items","Aspirant
Keys","Normal
Gems","Familiar
Contracts",Rune,HILTS,"Legendary
Crest","Rare
Crest","Telluric
Pearl"
,Shadow Contracts,5-10min,,324.000,X,X,,,,,,,,,
,Shadow Assembly,8min,,432.400,,X,,12,,,,,,,
,Shadow Path of Blood,10min,,,X,X,,,,,,,,,
,Immortal Kion,15min,,,,X,,15,,,,,,,
,Immortal Corvus,20min,,176.094,,X,,12,,,,,,,
,Activity (PVP),Time,"Battle
Points",Experience,"Gold
Scrap
Dust","Legendary
Items","Set
Items","Aspirant
Keys","Normal
Gems","Familiar
Contracts",Rune,HILTS,"Legendary
Crest","Rare
Crest","Telluric
Pearl"
,Battlegrounds,,20,189.192,X,X,,,,,,,,,
,Defend the Vault,,15,,X,X,,,,,,X,,,
,Raid the Vault,2min,15,,X,X,,,,,,X,,,
,Shadow War,10min,,1.600.000,X,X,,X,,,,,X,,
,Vigil of Blades,30min,,1.600.000,X,X,,,,,,,,,
,Rite of Exile,"1,5h",,,,,,,,,,,,,
,Predictions,1min,,,,,,,,,,X,,,
,Clan Tower Wars,30min,,,X,X,,,,,,,,,
,"Limited Time
Activities (PVE)",Cadence,"Battle
Points",Experience,"Gold
Scrap
Dust","Legendary
Items","Set
Items","Aspirant
Keys","Normal
Gems","Familiar
Contracts",Rune,HILTS,"Legendary
Crest /
Gem","Rare
Crest","Telluric
Pearl"
,Fractured Planes,monthly,X,,X,8,,,,,,,,,
,Survivors Bane,monthly,X,,X,14,1,,,,,,,,
,"Limited Time
Activities (PVP)",Cadence,"Battle
Points",Experience,"Gold
Scrap
Dust","Legendary
Items","Set
Items","Aspirant
Keys","Normal
Gems","Familiar
Contracts",Rune,HILTS,"Legendary
Crest /
Gem","Rare
Crest","Telluric
Pearl"
,Tower War,,X,,X,X,,,,,,,,,
,Conqueror,monthly,X,,X,2,,,,,,,,,
,Wild Brawl,monthly,X,,X,4,,,12,,,,,,
,Alley of Blood,monthly,X,,X,3,,,12,,,,,,
,Trial of the Hordes,monthly,X,,X,13,,,,,,,,,
,Howler Hunt,,X,,X,7,,,,,,,,,
,"Limited Time
Events",Cadence,"Battle
Points",Experience,"Gold
Scrap
Dust","Legendary
Items","Set
Items","Aspirant
Keys","Normal
Gems","Familiar
Contracts",Rune,HILTS,"Legendary
Crest /
Gem","Rare
Crest","Telluric
Pearl"
,Hungering Moon,monthly,,,X,1,,15,4,,,,1,3,1
,All Clans on Deck,monthly,,,X,4,1,15,3,,,,1,,
,Shady Stock,monthly,,,X,7,1,,,,,,,,
,Seasonal Event,monthly,X,,X,1,,,,,,,1,3,1
,Winds of Fortune,,X,X,X,X,,,X,,,,,,
,Mirrored Jewels,,,,,,,,,,,,1-10,,
,Battle Pass,monthly,,,,1,,,42,1,,7900,3,23,8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Open World Farming,,,,,,,,,,,,,,
,One of the best ways to gain experience and farm for equipment pieces and upgrade materials is open world farming.,,,,,,,,,,,,,,
,"Although not the most efficient way, it can be more relaxing ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Zones,,,,,,,,,,,,,,
,There are 14 different Zones for open world farming and most of them have 1-3 good farming spots. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Zone,Lair Layout,World Boss,Zone Event,,Specials,Fishing,AFK Spots,Best Spots,,Theme,Tier,,,
,Ancient Cradle,Light Cave,The Jurat,"Destruction's Call
Open World PVP",,,,,"Shieldholm
Spoiled Groves
Hinderlands",,Light,B,,,
,Ashworld,Castle,,Carriage,,,yes,,"Ashworld Manor
Queen Asyllas Tomb
The Ossuary",,Dark,B,,,
,Dark Wood,Castle,Blood Rose,,,Corruption,,,"Dark Wood
Fetid Swamp
Cursed Grove",,Dark,C,,,
,Bilefen,Light Cave,,"Ancient Arena
PVP Event",,,yes,1,"Infested Quagmire
Southern Wetlands
Northern Wetlands",,Dark,A,,,
,Mount Zavain,Light Cave,"Lord 
Martanos",Ancient Nightmare,,,,1,"Zakarum Graveyard
Sanctific Earth Monastery
Khazra Warrior Camp",,Light,S,,,
,Zoltan Library,Light Cave,"Hydra /
Golem",,,Lost Pages,,1,"Hidden Alcove
The Square 
Archive of Secrets",,Dark,S,,,
,Realm o. Damn.,Underground,,Demon Gates,,,,,"Plains of Torment
Molten Egress
Forest of Misery",,Light / Dark,A,,,
,Stormpoint,Underground,,Defense o. Stormpoint,,,,,"Ship Graveyard
Stormpoint Keep
The Shanties",,Dark,A,,,
,South. Dreadlands,Light Cave,,Sentinel's Stand,,,,2,"Outsider's Camp
Underdeeps
Desolate Gaol",,Light / Dark,S,,,
,Frozen Tundra,Underground,,Call of the Ancients,,"Ancestral
Essences",yes,1,"Ruins of Sescheron
Ancient Graveyard
Plains of Blood",,Light,A,,,
,Shassar Sea,,,,,Lost Scroll,,2,"Oasis of no return
Domain of Horror
Ruins of greater Fahira",,Light / Dark,S,,,
,Worlds Crown,none,Diablo,,,,,,,,Light,B,,,
,Wortham,none,,,,,,,The Festering Woods,,Light,D,,,
,Sharval Wilds,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Circle Farming,,,,,,,,,,,,,,
,The most common and most effective way to farm is to pick a route and run in a circle. this way the mobs you killed at the beginning of your route have had,,,,,,,,,,,,,,
,time to respawn and you can run in an infinite loop until you have gathered 10 monstrous essences and have to return back to town to collect your bestiary reward,,,,,,,,,,,,,,
,"You dont have to return to town to go to the blacksmith when your inventory is full if you have a familiar with the ""Salvager"" Trait",,,,,,,,,,,,,,
,"Dont forget to select ""auto pickup loot"" in the settings, otherwise your farming experience will be miserable.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Group Farming,,,,,,,,,,,,,,
,Farming in the same Zone with a party of four has a few benefits: ,,,,,,,,,,,,,,
,the legendary drop chance is increased.,,,,,,,,,,,,,,
,you have a chance of random normal gem drops (12 per day).,,,,,,,,,,,,,,
,you will farm much faster because you work together when killing monsters,,,,,,,,,,,,,,
,"you will gain more experience, because you can keep kill streaks going which will reward you with bonus EXP.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tagging,,,,,,,,,,,,,,
,"The first player who lands an attack on a monster ""tags"" the monster and gets all the rewards when it dies.",,,,,,,,,,,,,,
,"if another player has tagged a monster you will see its Name ""whitened"" instead of e.g. blue/yellow/red",,,,,,,,,,,,,,
,"If the player who has tagged the monster dies while attacking it, another player can tag it",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Monstrous Essences & Beastiary,,,,,,,,,,,,,,
,Monsters in the open world zones randomly drop monstrous essences (about every 2 minutes). Once you have collected 10 of them go to the nearest safe zone,,,,,,,,,,,,,,
,"and open your bestiary to collect the rewards. the first turn-in each day gives you a guaranteed legendary item, the first three turn-ins have a random chance of",,,,,,,,,,,,,,
,"discovering a new beastiary page. if you already have discovered the page, you get compensated with 3000-6000 gold.",,,,,,,,,,,,,,
,You can turn in monstrous essences more than 3 times a day and you will still get the rewards. Chances of getting legendary items as areward are pretty high here.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Hidden Lairs,,,,,,,,,,,,,,
,Hidden lairs will appear randomly on in the zones you are farming in. they have fixed spots but are not always open. ,,,,,,,,,,,,,,
,"when a lair opens, you will be notified and guided to the entrance. you can run a lair solo or in a group",,,,,,,,,,,,,,
,"The monster difficulty in a Hidden Lair is different then the difficulty in the open world zone. It is the same as in dungeons, so you might have a harder time killing Elites (especially yellow elites).",,,,,,,,,,,,,,
,Running a lair in a group of 4 rewards you with 2 extra chests at the end of each level,,,,,,,,,,,,,,
,Lairs have 2 levels. during each level there are 2 objectives and 1 lair guardian that will drop bonus chests as rewards. ,,,,,,,,,,,,,,
,these chests contain normal gems and equipment pieces. if you run in a group of 4 you will get 2 bonus chests at the end of each level.,,,,,,,,,,,,,,
,Hidden Lairs reward guaranteed Normal Gems for each objective (until weekly cap is reached),,,,,,,,,,,,,,
,Zones with the most Hidden Lairs in close proximity are:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Zone,Location,,,,,,,,,,,,,
,Bilefen,North,,,,,,,,,,,,,
,Ashworld,South-West,,,,,,,,,,,,,
,Zoltans Library,East,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,The Lair Layouts vary and there is one (Realm of Damnation Layout) that has many Deadends and takes a lot longer to complete,,,,,,,,,,,,,,
,"So, if you are farming hidden lairs in one Zone, it is best to avoid Zones with that layout",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tasks,,,,,,,,,,,,,,
,"tasks are little side stories in the open world zones  you can pick up while farming. they each reward you with enchanted dust, scrap and sometimes legendary equipment",,,,,,,,,,,,,,
,"there is a task limit of 24 tasks per day, after that you dont earn any Dust from the reward chests anymore",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Task Type,,Location,,,,,,,,,,,,
,Story Task,,"story tasks are spread out through each zone with various NPCs. when you come across an NPC with the story icon above their head, click and start. ",,,,,,,,,,,,
,Pop-Up Task: break the curse,,when you open a cursed chest a mini event begins. if you kill all enemies in time you get to open 2 chests to get the rewards. there is a limit of 4 cursed chests per day. after that you dont earn any enchanted dust from the chests anymore.,,,,,,,,,,,,
,Pop-Up Task: cleansing the rot,,"when this task starts a circle on the map is shown, you have to kill 20 monsters inside this area to earn a chest. if you leave the circle the task will not be completed. you will be warned when you come close to the border of the circle. ",,,,,,,,,,,,
,Pop-Up Task: wanted,,"when this task starts, a purple elite spawns. if you kill it you earn a chest ",,,,,,,,,,,,
,Pop-Up Task: ambush,,when this task starts 6-8 enemies will ambush you - you have to defeat all to earn a chest ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Monsters,,,,,,,,,,,,,,
,"there are 6 different types of monsters running (or better: standing) around in the open world. 4 kinds of Elite monsters, trash mobs of various size and rare treasure goblins",,,,,,,,,,,,,,
,"The monsters are either demons, undead, beasts or human. this is sometimes important because there are magic affixes and reforge bonus that increase",,,,,,,,,,,,,,
,the damage against specific minion groups.,,,,,,,,,,,,,,
,"Killing them rewards you with different amounts of EXP, Gold and Equipment drops.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Monster Overview,,,,,,,,,,,,,,
,Monster,Category,HP (min),HP (max),EXP (min),EXP (max),Gold,Equipment,Dust,,,,,,
,Purple Elite,Elite,1020000,,16216,,0,2,3,,,,,,
,Orange Elite,Elite,750000,,21038,,550,3,,,,,,,
,Yellow Elite,Elite,474000,,4054,,400,3,,,,,,,
,Blue Elite Pack,Elite,160000,,4860,,200,2,,,,,,,
,Normal Mobs,Category A,162000,220000,1458,1620,,1*,,,,,,,
,Normal Mobs,Category B,40000,99000,486,540,40-120,0-1,,,,,,,
,Normal Mobs,Category C,21000,30000,104,162,40-120,0-1,,,,,,,
,Treasure Goblin,Other,,,1532,,2500-3200,9-11,,,,,,,
,,,,,,,,,,,,,,,
,Purple Elites,,,,,,,,,,,,,,
,"Purple Elites pop up when the ""wanted"" task occurs. They have fixed spots on the map and always spawn at the same location. ",,,,,,,,,,,,,,
,"They typically have multiple health bars, symbolized by the red diamonds to the right of the bar",,,,,,,,,,,,,,
,"They do moderate damage, but have extremely high health (1,02 Mio).",,,,,,,,,,,,,,
,"Killing purple Elites is a good way of gaining dust, so picking a farming spot with multiple purple elite spawn locations is a good choice",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Orange Elites,,,,,,,,,,,,,,
,"Orange or ""Ancient"" Elites are a single tough enemy surrounded by 4-6 minions. They are the least common Elite in the game. ",,,,,,,,,,,,,,
,"They have three random affixes. Their minions all have the Empowered Minion affix which increases Life, Damage, and Movement Speed",,,,,,,,,,,,,,
,The first Orange Elite you kill each day rewards you with a guaranteed legendary item. ,,,,,,,,,,,,,,
,The next Orange Elites you kill also have a high legendary drop chance,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Yellow Elites,,,,,,,,,,,,,,
,"A yellow Elite is a single tough enemy. They are less common than Blue Elites, with two random affixes.",,,,,,,,,,,,,,
,The first 4 yellow Elites each day have a higher chance of dropping a legendary item.,,,,,,,,,,,,,,
,"When they die, they drop 3 EXP Globes.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Blue Elites,,,,,,,,,,,,,,
,"A blue Elite Pack is always made up of three enemies. They are the most common Elite in the game. Each enemy has the same, singular affix",,,,,,,,,,,,,,
,"When they die, they drop 3 EXP Globes.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Normal Mobs,,,,,,,,,,,,,,
,"Normal Mobs, or ""Trash Mobs"" are the most common mobs. They come in different forms and shapes and do vary in HP and Attacking Power",,,,,,,,,,,,,,
,"Mobs from Category A do normally drop 1 equipment piece (90%), the Mobs from Category A and B can also drop equipment pieces but they have lower chances",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Treasure Goblin,,,,,,,,,,,,,,
,"Sometimes a treasure goblin will lurk in a corner of the map and as soon as you get close he tries to run away and then tries to open a portal to teleport to safety,",,,,,,,,,,,,,,
, dropping gold on his way while fleeing (and laughing),,,,,,,,,,,,,,
,If you attack him he will start dropping loot (gold and equipment pieces) until you kill him. The kill results in the treasure bag exploding and dropping a lot of loot,,,,,,,,,,,,,,
,Treasure Goblins do have a high chance of dropping legendary equipment,,,,,,,,,,,,,,
,Mythstealer: Drops Set items,,,,,,,,,,,,,,
,Malevolent Tormentor: Drops Legendary Equipment,,,,,,,,,,,,,,
,Gem Hoarder: Drops Gems,,,,,,,,,,,,,,
,"Odious Collector: Drops Flowing Shard, and other salvage",,,,,,,,,,,,,,
,Draff Gatherer: Drops Rhodolite and crafting materials,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Globes,,,,,,,,,,,,,,
,"Globes drop randomly when you kill monsters. They offer various bonus like attack speed, increased critical hit chance or movement speed increase.",,,,,,,,,,,,,,
,"You can increase the drop rate of globes by running the ""Treasure Hunter"" Paragon Tree (now Vanquisher)",,,,,,,,,,,,,,
,This will increase your farming speed because you will often have significant buffs active that let you kill  monsters in seconds.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Globe,Effect,,,Duration,,,,,,,,,,
,health globe,heals you ,,,/,,,,,,,,,,
,experience globe,Gives you 1620 Experience,,,/,,,,,,,,,,
,quickening globe,increase attack speed and movement speed,,,10,,,,,,,,,,
,conduit globe,releases lightning strikes,,,40,,,,,,,,,,
,frenzy globe,increases your critical hit chance,,,12,,,,,,,,,,
,energy globe,resets your skill cooldowns,,,/,,,,,,,,,,
,charged globe,fully charges your ultimate skill,,,/,,,,,,,,,,
,,,,,,,,,,,,,,,
,Shrines,,,,,,,,,,,,,,
,"Shrines can randomly pop up in open world zones.  while the type of the shrine is random, its location is not. they always spawn at fixed spots.",,,,,,,,,,,,,,
,"Some shrines offer damage / speed bonus, others offer protection or give you the chance to gain a lot of experience fast.",,,,,,,,,,,,,,
,The duration of these benefitial effects is typically much longer than the effects from globes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Shrine,Effect,,,Duration,,,,,,,,,,
,exp shrine,every monster you kill drops EXP globes,,,120,,,,,,,,,,
,fleeting shrine,Movement speed buff,,,40,,,,,,,,,,
,shield shrine,Makes you invulnerable,,,40,,,,,,,,,,
,alchemic shrine,freezes enemies,,,40,,,,,,,,,,
,empowered shrine,attack speed increased and cooldowns decreased,,,120,,,,,,,,,,
,conduit shrine,releases lightning strikes,,,40,,,,,,,,,,
,frenzy shrine,increases your critical hit chance,,,120,,,,,,,,,,
,elite shrine,chance of monsters turning into elites,,,,,,,,,,,,,
,split shrine,monsters split into more when defeated,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Treasure Chests,,,,,,,,,,,,,,
,"Chest can spawn randomly on the map. While the type of chest is random, the location is not. Chests will spawn at fixed points in each zone,
but it will not always be a chest that is spawned. Other items like bone piles, backpacks, demon corpses or shrines can spawn in their place.",,,,,,,,,,,,,,
,"because each time any of those items is ""opened"" the next item to spawn is random, it is always a good idea to click on any of those items to give the
""good"" treasure chests (like the haunted chest and the glorious chest) a chance to appear",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,chests,gold,equipment,dust,,,,,,,,,,,
,normal,200,0-1,,,,,,,,,,,,
,glorious,560,2,,,,,,,,,,,,
,haunted,660,8,5,,,,,,,,,,,
,heavy ornament,,,,*can only be opened by 4 players,,,,,,,,,,
,,,,,,,,,,,,,,,
,Other Items & drops,,,,,,,,,,,,,,
,There are a few other items that can spawn in places a chest or shrine would normally spawn. ,,,,,,,,,,,,,,
,Some zones have special items or drops from monsters that can only be found in those zones,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Name,Type,Zone,Effect,,,,,,,,,,,
,bone pile,Stationary Item,All,Refreshes your healing potion,,,,,,,,,,,
,backpack,Stationary Item,All,gives you 200 Gold,,,,,,,,,,,
,demon corpse,Stationary Item,All,Gives you 1 Gear Piece,,,,,,,,,,,
,Resurrection Stone,Drop,All,used to revive outside a safe zone,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Chronicle,,,,,,,,,,,,,,
,There are little notes and story books scattered all around the different zones. You can get hints of where to find them at Rayek in Westmarch,,,,,,,,,,,,,,
,"Finding all of them will earn you rewards (Legendary Gear, Scrap, Gold)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Fishing,,,,,,,,,,,,,,
,"The rod you use makes no difference in catching fish, it is just style points",,,,,,,,,,,,,,
,"When you have a mythical or legendary fish on the hook, the yellow bar will be smaller and it will move quicker",,,,,,,,,,,,,,
,You can increase your chances of catching legendary and mythical fish by letting go of a rare fish if the moving yellow bar is wide and moves slowly - the timer will not reset,,,,,,,,,,,,,,
,Fishing is a decent AFK activity to farm for dust.  ,,,,,,,,,,,,,,
,Saving up a bunch of Mythical or Legendary Fish in your Inventory can be used for Pushing Paragon Levels or to be turned in when you reach a new difficulty to get many Legendary Items at once,,,,,,,,,,,,,,
,It's also useful to turn these in when a new class comes out or when new Essences come out ,,,,,,,,,,,,,,
,"It is of course not as effective as open world farming or running elder rifts or dungeons, but you get a good chance of getting some dust an some legendaries if you wait for the rarer fish.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Fishing Rewards ,,,,,,,,,,,,,,
,Fish Rarity,Time ,Chance,EXP,Gold,Dust,,,,,,,,,
